lat3,lng3
33.5714279,-86.53081741
33.5757329,-86.97497518
33.4215729,-87.18267605
33.2241639,-86.82804761
32.9287409,-85.96622169
33.3184609,-86.22413702
34.3156349,-86.5050193
34.2555939,-86.63666932
33.3962979,-86.96276362
33.4019209,-87.0148246
34.0802329,-86.58396642
33.9609599,-87.01959788
32.9229659,-87.2265217
33.0300429,-86.96682507
33.0970959,-86.77115162
32.9376199,-87.13437721
33.3588779,-86.62934207
33.2542239,-86.35281383
32.8228279,-86.65758962
33.9794019,-86.5746752
33.1642599,-86.63132122
34.0694129,-87.06373146
33.4937439,-86.29525972
34.1634419,-86.84513052
33.4527199,-86.97166151
33.7222429,-87.05542215
33.8128849,-87.03142932
33.4607899,-86.93348993
33.5985789,-86.82886621
33.7062059,-86.8377523
33.0619379,-86.09330756
33.6208559,-86.96347716
34.0388649,-86.80017493
33.3547559,-86.44465035
33.8731019,-86.8329711
33.3042739,-86.82898654
34.1773809,-86.63279706
32.9678349,-86.73319439
34.2710349,-86.56731214
32.9663639,-86.06353913
33.7556509,-86.8236971
33.5156289,-86.59006157
33.5932089,-86.12640326
34.1713749,-87.05346996
33.2718419,-87.11757389
33.2189899,-86.88793071
33.1120609,-86.8773952
33.7264679,-86.7878259
33.6640759,-86.88697382
33.5279919,-87.05923775
33.6629069,-86.42421561
33.9131539,-86.48942628
33.2977559,-86.82137541
33.5851849,-86.35840085
33.6954269,-86.67181138
33.4756319,-86.99181654
33.6433609,-87.11592014
33.7239729,-86.17717446
33.8334999,-86.656956
33.5961279,-86.21359278
32.8652529,-86.25513085
33.0657789,-86.56876522
33.7259429,-86.45468181
33.4333989,-86.50695512
33.7553009,-87.05982504
33.1589709,-86.28643231
33.4227409,-86.12857325
32.9110509,-86.76185667
33.8063339,-86.75870315
33.6212279,-86.61332422
34.3966409,-86.47818918
33.4679999,-86.51650719
33.3883449,-86.41464023
34.2494169,-86.92788119
33.8401579,-86.83514419
33.0111059,-86.31935281
33.1297269,-87.15211025
33.2165509,-86.54507928
33.1571039,-87.17864398
33.5082899,-86.82186228
33.5052459,-86.85243375
33.4824399,-86.82116873
33.5550929,-86.73509853
33.5466789,-86.83058705
33.4849539,-86.89511617
33.4569199,-86.82196525
33.5200929,-86.70093536
33.4688609,-86.87426935
33.5281789,-86.76476378
33.4954909,-86.75734203
33.5427409,-86.90223135
33.6227429,-86.70845349
33.4026059,-86.80564272
33.5759959,-86.78024322
33.4932679,-86.90822664
33.4396119,-86.90871721
33.5091549,-86.78181543
33.4760219,-86.7518146
33.5064219,-86.94942895
33.3909709,-86.84647268
33.4497419,-86.92992899
33.4934569,-86.81549067
33.5250459,-86.82208923
33.6053409,-86.67630441
33.3888549,-86.72072631
33.4333489,-86.75889911
33.3590719,-86.79159111
33.1841869,-87.57784567
33.1982099,-87.5032611
33.1489999,-87.52960858
33.2594699,-87.55122774
32.8596499,-87.72368189
33.1101089,-88.18185586
32.7619419,-88.04175927
33.2648189,-87.32421867
33.2367439,-87.73407479
33.2358019,-88.14731063
33.2399079,-87.65171734
33.1639629,-87.40222717
33.0701109,-87.51013696
33.3038549,-87.82240247
33.3309739,-87.8166342
32.7422589,-88.32085093
32.7506669,-88.17654836
33.3741119,-88.23719974
32.8761669,-87.94542371
33.1231549,-87.75085711
32.8956599,-88.28668804
33.3342129,-87.91570976
32.9697189,-87.80699771
32.5758049,-88.18866783
32.9661489,-87.6302761
33.2707209,-87.6066357
33.0501639,-87.76014053
33.3832409,-88.03549133
33.1622759,-87.27253788
33.8589679,-87.26444256
34.1928669,-87.21012488
34.0505299,-87.19809404
33.6881259,-87.70491809
34.2007649,-87.70144331
33.9301729,-88.03098134
33.6817809,-87.63782996
34.0249979,-87.77164343
33.8965479,-87.5556333
33.7553289,-87.19934004
33.9981699,-88.17595359
34.1259779,-87.41277771
33.9188419,-87.6347063
33.6846929,-87.84991448
33.9549199,-87.91769579
34.2550989,-87.87613223
34.2187189,-87.60917459
34.1407089,-88.02387039
34.3289599,-87.97440674
34.1053379,-87.27717297
33.5622599,-88.0669658
34.0402799,-87.55514519
33.5274259,-88.21524265
33.9171549,-87.447758
33.6874699,-87.38384197
33.7086029,-87.28104472
34.3343139,-87.73081573
34.4385549,-88.12831789
34.3720919,-87.72754066
33.8421959,-88.16606956
33.8343159,-87.45254215
33.7485809,-88.11319784
34.3584559,-88.09281116
33.9175519,-87.81246907
34.5768949,-87.00410948
34.5357129,-87.01581085
34.9390729,-87.28782431
34.7908999,-86.98620242
34.7314839,-87.98790329
34.6591619,-87.32969979
34.4394849,-87.06859107
34.9025369,-86.92594242
34.3350739,-86.71981187
34.3349489,-86.92847084
34.8178429,-87.67145947
34.8697669,-87.75526224
34.4355019,-86.93963833
34.6349259,-87.19581927
34.8889279,-87.52367285
34.6982779,-87.53758508
34.9056599,-87.15888701
34.9432199,-87.4090171
34.4931319,-87.23779897
34.4502649,-87.46685905
34.8368399,-87.33914904
34.4938639,-87.7411401
34.7451249,-87.71251784
34.7434319,-87.64590352
34.4868439,-86.81634381
34.7003329,-87.00460447
34.6364339,-87.44163555
34.5790669,-87.10669989
34.6747279,-87.69870669
34.9229759,-87.97790627
34.9677429,-86.85011474
34.9319339,-85.74317697
